"sy","site","year","hyb","mg_ha","pt_acre","srad_total","ppt_total","susm","tmean","yield"
3,1,2014,40,9.452788,25006,2.28106024540452,3.48458973583946,85.039580031061,17.1230423715274,13.3846339179781
3,1,2014,64,11.95094,26506,2.28106024540452,3.48458973583946,85.039580031061,17.8885680680931,12.7597740182457
3,1,2014,72,10.80857,26006,2.28106024540452,3.48458973583946,85.039580031061,17.1230423715274,9.07974736941898
4,1,2015,42,9.000415,26000,2.34692697580932,4.49101375543547,93.0758697653687,18.0268661873248,11.5825935454984
4,1,2015,42,9.134577,26000,2.34692697580932,4.49101375543547,93.0758697653687,18.0268661873248,12.0806708185769
4,1,2015,46,9.202938,26000,2.34692697580932,4.49101375543547,93.0758697653687,18.0268661873248,8.65245400228168
4,1,2015,46,9.48734,26000,2.34692697580932,4.49101375543547,93.0758697653687,18.0268661873248,9.29815005839714
4,1,2015,48,9.604138,26000,2.34692697580932,4.49101375543547,93.0758697653687,18.0268661873248,11.9798491843109
4,1,2015,48,9.922509,26000,2.34692697580932,4.49101375543547,93.0758697653687,18.0268661873248,11.6397982259485
4,1,2015,49,10.85716,26000,2.34692697580932,4.49101375543547,93.0758697653687,18.0268661873248,8.11686865313931
4,1,2015,49,11.5078,26000,2.34692697580932,4.49101375543547,93.0758697653687,18.0268661873248,7.71579146145487
4,1,2015,61,7.596237,26000,2.34692697580932,4.49101375543547,93.0758697653687,18.0268661873248,9.47405347078697
4,1,2015,61,8.459362,26000,2.34692697580932,4.49101375543547,93.0758697653687,18.0268661873248,10.3287403929653
4,1,2015,71,9.204857,26000,2.34692697580932,4.49101375543547,93.0758697653687,18.0268661873248,14.8714931039013
4,1,2015,71,10.33861,26000,2.34692697580932,4.49101375543547,93.0758697653687,18.0268661873248,14.2561599377922
4,1,2015,82,8.923409,26000,2.34692697580932,4.49101375543547,93.0758697653687,18.0268661873248,11.5315549987281
4,1,2015,82,9.038137,26000,2.34692697580932,4.49101375543547,93.0758697653687,18.0268661873248,12.2195522262948
5,1,2016,23,14.11472,25005.5,2.43315550240596,1.93834471355249,153.431194157298,18.9404989821347,14.3549024223747
5,1,2016,23,14.11472,25006,2.43315550240596,1.93834471355249,153.431194157298,18.9404989821347,15.2689537270554
5,1,2016,23,14.30326,25005.5,2.43315550240596,1.93834471355249,153.431194157298,18.9404989821347,14.8631646710364
5,1,2016,23,14.30326,25006,2.43315550240596,1.93834471355249,153.431194157298,18.9404989821347,13.9827016603634
5,1,2016,25,14.85406,25505.61,2.43315550240596,1.93834471355249,153.431194157298,18.9404989821347,16.8238187851375
5,1,2016,25,14.85406,25506,2.43315550240596,1.93834471355249,153.431194157298,18.9404989821347,17.9542367514337
5,1,2016,43,12.84367,25505.61,2.43315550240596,1.93834471355249,153.431194157298,18.9404989821347,14.5157657127867
5,1,2016,43,12.84367,25506,2.43315550240596,1.93834471355249,153.431194157298,18.9404989821347,12.541028853463
5,1,2016,62,12.79003,25505.61,2.43315550240596,1.93834471355249,153.431194157298,18.9404989821347,9.50935186735615
5,1,2016,62,12.79003,25506,2.43315550240596,1.93834471355249,153.431194157298,18.9404989821347,11.1031116164985
5,1,2016,64,13.66204,27005.94,2.43315550240596,1.93834471355249,153.431194157298,18.9404989821347,12.0635567387726
5,1,2016,64,13.66204,27006,2.43315550240596,1.93834471355249,153.431194157298,18.9404989821347,14.3468161636007
5,1,2016,66,13.14073,25006,2.43315550240596,1.93834471355249,153.431194157298,18.9404989821347,7.19751759446491
5,1,2016,68,13.14073,25005.5,2.43315550240596,1.93834471355249,153.431194157298,18.9404989821347,14.564976918892
