"Treatment","Time","Material","Biological Rep","Technical Rep","Total CFU/coupon","Log CFU/coupon"
6,2,"C",1,1,2111110.96532656,6.2095007852085
6,2,"C",1,2,21646.3405377063,4.3501621082156
6,2,"C",2,1,0,2.44
6,2,"C",2,2,0,2.44
6,2,"C",3,1,0,2.44
6,2,"C",3,2,0,2.44
6,2,"D",1,1,0,2.44
6,2,"D",1,2,0,2.44
6,2,"D",2,1,304.878035742342,2.7226867650755
6,2,"D",2,2,7317.07285781619,3.82474675640346
6,2,"D",3,1,0,2.44
6,2,"D",3,2,0,2.44
6,2,"E",1,1,0,2.44
6,2,"E",1,2,304.878035742342,2.48412613771567
6,2,"E",2,1,0,2.44
6,2,"E",2,2,13719.5116084054,3.96124739243533
6,2,"E",3,1,5487.80464336215,3.77287203763428
6,2,"E",3,2,914.634107227026,2.7226867650755
6,3,"A",1,1,0,2.44
6,3,"A",1,2,0,2.44
6,3,"A",2,1,0,2.44
6,3,"A",2,2,0,2.44
6,3,"A",3,1,0,2.44
6,3,"A",3,2,0,2.44
6,3,"B",1,1,609.756071484684,2.59257806668982
6,3,"B",1,2,255681.833096931,5.39677089247075
6,3,"B",2,1,0,2.44
6,3,"B",2,2,0,2.44
6,3,"B",3,1,0,2.44
6,3,"B",3,2,0,2.44
6,3,"C",1,1,304.878035742342,2.78515613337965
6,3,"C",1,2,304.878035742342,2.90667515772279
6,3,"C",2,1,0,2.44
6,3,"C",2,2,0,2.44
6,3,"C",3,1,0,2.44
6,3,"C",3,2,0,2.44
6,3,"D",1,1,0,2.44
6,3,"D",1,2,0,2.44
6,3,"D",2,1,0,2.44
6,3,"D",2,2,21951.2185734486,4.33842156029084
6,3,"D",3,1,0,2.44
6,3,"D",3,2,0,2.44
6,3,"E",1,1,0,2.44
6,3,"E",1,2,0,2.44
6,3,"E",2,1,0,2.44
6,3,"E",2,2,0,2.44
6,3,"E",3,1,0,2.44
6,3,"E",3,2,0,2.44
8,4,"A",1,1,67378.0458990576,4.88024226791809
8,4,"A",1,2,139285.708560932,5.0984925055125
8,4,"A",2,1,914.634107227026,3.02371676073948
8,4,"A",2,2,2743.90232168108,3.43836864715499
8,4,"A",3,1,1829.26821445405,3.4127923859313
8,4,"A",3,2,304.878035742342,2.63464113554766
8,4,"B",1,1,0,2.44
8,4,"B",1,2,823170.696504324,6.05780969161256
8,4,"B",2,1,0,2.44
